school,name,tag
Virginia,Cavaliers,human
UMBC,Retrievers,dog
Creighton,Bluejays,bird
Kansas State,Wildcats,cat
Kentucky,Wildcats,cat
Davidson,Wildcats,cat
Arizona,Wildcats,cat
Buffalo,Bulls,horned
Miami,Hurricanes,bird
Loyola,Ramblers,dog
Tennessee,Volunteers,dog
Wright State,Raiders,dog
Nevada,Wolfpack,dog
Texas,Longhorns,horned
Cincinnati,Bearcats,other
Georgia State,Panthers,cat
Xavier,Musketeers,???
Texas Southern,Tigers,cat
North Carolina Central,Eagles,bird
Missouri,Tigers,cat
Florida State,Seminoles,human
Ohio State,Buckeyes,???
South Dakota State,Jackrabbits,other
Gonzaga,Bulldogs,dog
UNC Greensboro,Spartans,human
Houston,Cougars,cat
San Diego State,Aztecs,human
Michigan,Wolverines,other
Montana,Grizzlies,bear
Texas A&m,Aggies,dog
Providence,Friar Boys,evil
North Carolina,Tarheels,horned
Lipscomb,Bison,horned
Villanova,Wildcats,cat
LIU Brooklyn,Blackbirds,bird
Radford,Highlanders,human
Virginia Tech,Hokies,bird
Alabama,Crimson Tide,other
West Virginia,Mountaineers,human
Murray State,Racers,other
Wichita State,Shockers,???
Marshall,Bison,horned
Florida,Gators,reptile
Saint Bonaventure,Bonnies,dog
UCLA,Bruins,bear
Texas Tech,Red Raiders,human
Steven F. Austin,Lumberjacks,human
Arkansas,Razorbacks,horned
Butler,Bulldogs,dog
Purdue,Boilermakers,human
Cal State Fullerton,Titans,other
Kansas,Jayhawks,bird
Penn,Quakers,human
Seton Hall,Pirates,human
NC State,Wolfpack,dog
Clemson,Tigers,cat
New Mexico State,Aggies,human
Auburn,Tigers,cat
Charleston,Cougars,cat
TCU,Horned Frogs,reptile
Arizona State,Sun Devils,evil
Syracuse,Orangemen,???
Michigan State,Spartans,human
Bucknell,Bison,horned
Rhode Island,Rams,horned
Oklahoma,Sooners,horse
Duke,Blue Devils,evil
Iona,Gaels,human
